iter	Passed	Remaining
615	5687	1708
616	5696	1698
617	5705	1689
618	5714	1680
619	5724	1671
620	5733	1661
621	5742	1652
622	5752	1643
623	5761	1634
624	5770	1624
625	5779	1615
626	5788	1606
627	5797	1597
628	5807	1588
629	5816	1578
630	5825	1569
631	5834	1560
632	5843	1550
633	5853	1541
634	5862	1532
635	5871	1523
636	5881	1514
637	5889	1504
638	5898	1495
639	5908	1486
640	5917	1477
641	5926	1467
642	5935	1458
643	5945	1449
644	5954	1440
645	5963	1430
646	5972	1421
647	5981	1412
648	5990	1403
649	5999	1393
650	6008	1384
651	6017	1375
652	6026	1365
653	6035	1356
654	6044	1347
655	6053	1338
656	6062	1328
657	6072	1319
658	6081	1310
659	6090	1301
660	6100	1292
661	6109	1282
662	6118	1273
663	6127	1264
664	6136	1254
665	6145	1245
666	6154	1236
667	6164	1227
668	6172	1217
669	6182	1208
670	6191	1199
671	6200	1190
672	6210	1181
673	6218	1171
674	6227	1162
675	6236	1153
676	6245	1143
677	6254	1134
678	6263	1125
679	6272	1116
680	6282	1107
681	6291	1097
682	6300	1088
683	6309	1079
684	6318	1069
685	6327	1060
686	6336	1051
687	6346	1042
688	6355	1033
689	6364	1023
690	6374	1014
691	6384	1005
692	6393	996
693	6402	987
694	6411	977
695	6421	968
696	6430	959
697	6440	950
698	6449	941
699	6457	931
700	6467	922
701	6476	913
702	6486	904
703	6495	894
704	6505	885
705	6514	876
706	6523	867
707	6532	858
708	6541	848
709	6550	839
710	6559	830
711	6569	821
712	6578	811
713	6587	802
714	6596	793
715	6606	784
716	6615	775
717	6624	765
718	6634	756
719	6643	747
720	6652	738
721	6662	728
722	6670	719
723	6680	710
724	6689	701
725	6698	692
726	6707	682
727	6717	673
728	6726	664
729	6735	655
730	6745	645
731	6749	636
732	6758	626
733	6767	617
734	6776	608
735	6785	599
736	6794	590
737	6803	580
738	6813	571
739	6822	562
740	6832	553
741	6841	543
742	6850	534
743	6860	525
744	6868	516
745	6878	507
746	6887	497
747	6896	488
748	6905	479
749	6914	470
750	6923	460
751	6932	451
752	6941	442
753	6950	433
754	6958	423
755	6967	414
756	6976	405
757	6985	396
758	6995	387
759	7004	377
760	7013	368
761	7022	359
762	7031	350
763	7040	340
764	7049	331
765	7058	322
766	7067	313
767	7076	304
768	7085	294
769	7095	285
770	7104	276
771	7112	267
772	7121	257
773	7130	248
774	7139	239
775	7148	230
776	7157	221
777	7166	211
778	7176	202
779	7185	193
780	7194	184
781	7203	175
782	7212	165
783	7221	156
784	7230	147
785	7239	138
786	7249	128
787	7258	119
788	7267	110
789	7276	101
790	7286	92
791	7295	82
792	7305	73
793	7314	64
794	7323	55
795	7332	46
796	7342	36
797	7351	27
798	7360	18
799	7369	9
800	7378	0
